date,Revenue,rolling_mean,rolling_std,rolling_z,is_outlier,revenue,is_holiday,is_tet_window,covid_regime,abs_z
2018-12-28,4637468.16,1771842.2156666666,658972.9135172601,4.348624784952221,True,4637468.16,False,False,unknown,4.348624784952221
2014-12-28,8484445.21,3107257.3883333337,1238794.7155175176,4.340660929781492,True,8484445.21,False,False,unknown,4.340660929781492
2015-03-30,14251354.04,5204211.657666666,2133346.8461025683,4.240821129888768,True,14251354.04,False,False,unknown,4.240821129888768
2013-02-25,9128225.25,3809090.3153333333,1260383.715141263,4.2202504449769895,True,9128225.25,False,False,unknown,4.2202504449769895
2022-03-30,11643208.73,4276826.942666667,1773757.5014909524,4.152981329827463,True,11643208.73,False,False,unknown,4.152981329827463
2021-03-30,10795905.35,3468456.2066666665,1786563.9573141076,4.101419998615278,True,10795905.35,False,False,unknown,4.101419998615278
2013-12-29,6516622.75,2731036.128666667,937702.4565649014,4.037087238953309,True,6516622.75,False,False,unknown,4.037087238953309
2012-12-28,8573663.31,3356492.2590000005,1318490.5687890383,3.9569270910990944,True,8573663.31,False,False,unknown,3.9569270910990944
2017-03-30,17516038.82,5727526.125666667,3056488.7717403,3.8568807460794967,True,17516038.82,False,False,unknown,3.8568807460794967
2014-03-30,12784107.1,5706711.938666667,1843949.3855286113,3.8381721412078953,True,12784107.1,False,False,unknown,3.8381721412078953
2018-05-30,20905271.35,8116285.295333332,3401938.942067765,3.759322631138486,True,20905271.35,False,False,unknown,3.759322631138486
2020-12-28,3627797.75,1292293.0723333333,628690.2813217283,3.7148732007700422,True,3627797.75,False,False,unknown,3.7148732007700422
2015-12-28,8179976.67,3160721.856666667,1368608.6988455828,3.6674140808596776,True,8179976.67,False,False,unknown,3.6674140808596776
2017-12-29,6520226.98,2583452.291333333,1074077.743683669,3.6652604635164128,True,6520226.98,False,False,unknown,3.6652604635164128
2019-12-28,3502828.06,1406586.6046666666,574753.4526825658,3.6472011530326203,True,3502828.06,False,False,unknown,3.6472011530326203
2016-03-30,14545392.64,5497151.657333333,2498618.577681691,3.6212974094917496,True,14545392.64,False,False,unknown,3.6212974094917496
2021-12-29,4065184.9,1550268.9459999998,721262.8436119459,3.4868231134793852,True,4065184.9,False,False,unknown,3.4868231134793852
2021-02-23,4952064.84,2138061.1326666665,808150.1644838669,3.482030730180603,True,4952064.84,False,False,unknown,3.482030730180603
2022-02-26,6304749.98,2706554.199,1048046.6329662064,3.433240151553468,True,6304749.98,False,False,unknown,3.433240151553468
2016-10-28,7095459.64,3918626.292,944066.6595168571,3.3650519441347506,True,7095459.64,False,False,unknown,3.3650519441347506
2015-03-31,14813965.34,5544256.396,2757512.437246438,3.361619994452837,True,14813965.34,False,False,unknown,3.361619994452837
2022-08-28,7051722.27,3290588.2546666665,1120734.3203268063,3.3559550618888747,True,7051722.27,False,False,unknown,3.3559550618888747
2021-02-25,5675843.97,2245283.1,1032025.736886143,3.3241039902268175,True,5675843.97,False,False,unknown,3.3241039902268175
2018-12-29,4597405.16,1850873.7513333333,834242.6601167088,3.2922452182946778,True,4597405.16,False,False,unknown,3.2922452182946778
2016-12-28,7554359.22,3187769.2266666666,1326867.901567924,3.2909003135681036,True,7554359.22,False,False,unknown,3.2909003135681036
2016-10-29,7748034.04,3995796.3696666667,1145292.916087621,3.276225337314727,True,7748034.04,False,False,unknown,3.276225337314727
2019-05-30,10560540.55,4522521.185666666,1846298.70728325,3.2703372106120483,True,10560540.55,False,False,unknown,3.2703372106120483
2019-03-30,9442671.99,3790259.3170000003,1735903.0416508832,3.256179946331811,True,9442671.99,False,False,unknown,3.256179946331811
2020-02-24,4913668.98,2165044.3243333334,844193.777884343,3.255916742901221,True,4913668.98,False,False,unknown,3.255916742901221
2018-03-30,12176690.89,5293875.186000001,2125505.6369470065,3.2382015763017256,True,12176690.89,False,False,unknown,3.2382015763017256
2014-07-31,12499623.55,5310720.065666666,2220343.46146006,3.237743893733465,True,12499623.55,False,False,unknown,3.237743893733465
2021-07-04,730601.15,3945142.5726666665,994466.5858843051,-3.2324277841956994,True,730601.15,False,False,unknown,3.2324277841956994
2016-08-28,15158669.18,6799320.199,2610194.664236228,3.20257684054612,True,15158669.18,False,False,unknown,3.20257684054612
2018-02-26,7426597.23,3750983.603,1148715.3153949922,3.19976026935457,True,7426597.23,False,False,unknown,3.19976026935457
2022-08-29,7928796.83,3465466.1,1397670.5973771687,3.1934067571971303,True,7928796.83,False,False,unknown,3.1934067571971303
2018-02-27,8416365.51,3927253.374666667,1422876.4876337692,3.1549555947745587,True,8416365.51,False,False,unknown,3.1549555947745587
2018-07-31,12496367.04,5774681.5386666665,2144511.60435939,3.1343665791639483,True,12496367.04,False,False,unknown,3.1343665791639483
2012-07-31,9151622.14,4657384.768214286,1441662.9330609234,3.1173981578645416,True,9151622.14,False,False,unknown,3.1173981578645416
2020-03-30,8661154.35,3463573.332,1672844.8701778585,3.1070310885715227,True,8661154.35,False,False,unknown,3.1070310885715227
2022-12-28,3448729.2,1599323.4646666667,596757.6154735002,3.099090296260256,True,3448729.2,False,False,unknown,3.099090296260256
2020-08-28,7296538.72,3611294.852333333,1190597.7012475983,3.0952889156471493,True,7296538.72,False,False,unknown,3.0952889156471493
2014-02-26,7766238.39,3829229.5513333334,1273894.2606046489,3.090530321408294,True,7766238.39,False,False,unknown,3.090530321408294
2017-10-29,7644126.36,4097031.485,1149976.6485166901,3.084492958683343,True,7644126.36,False,False,unknown,3.084492958683343
2014-04-29,17347427.27,7702237.037666666,3127607.7497326215,3.083887432226083,True,17347427.27,False,False,unknown,3.083887432226083
2015-02-25,8502202.85,4237417.279,1384416.7924126412,3.080564750711888,True,8502202.85,False,False,unknown,3.080564750711888
2014-02-25,6869199.08,3669814.6153333336,1042439.5507040997,3.0691318863580066,True,6869199.08,False,False,unknown,3.0691318863580066
2016-05-30,15902645.06,8428604.966666667,2439253.9486521576,3.0640680514069536,True,15902645.06,False,False,unknown,3.0640680514069536
2018-08-01,13786351.91,5965226.1280000005,2567690.921451312,3.0459763348695166,True,13786351.91,False,False,unknown,3.0459763348695166
2017-01-29,6530902.38,2960241.800333333,1175085.6190635478,3.0386386504433665,True,6530902.38,False,False,unknown,3.0386386504433665
2019-02-25,6710330.49,3103105.7183333337,1194333.2587299827,3.0202832796454806,True,6710330.49,False,False,unknown,3.0202832796454806
2012-10-28,6259883.83,3448998.563,935459.842039986,3.004816605350173,True,6259883.83,False,False,unknown,3.004816605350173
